[::1] DEB:03/20/2014 - 08:34:37 | Starting Application
[::1] DEB:03/20/2014 - 08:58:13 | Starting test-cache.php
[::1] DEB:03/20/2014 - 08:58:13 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] ERR:03/20/2014 - 08:58:13 | The specified path may not exist or may not be a directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 08:58:13 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 08:58:13 | Create 3 cache entries
[::1] DEB:03/20/2014 - 08:58:13 | Data1 written to cache: 532ae5e5aab49
[::1] DEB:03/20/2014 - 08:58:13 | Data2 written to cache: 532ae5e5aab6f
[::1] DEB:03/20/2014 - 08:58:13 | Data3 written to cache: 532ae5e5aab94
[::1] DEB:03/20/2014 - 08:58:13 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:00:59 | Starting test-cache.php
[::1] DEB:03/20/2014 - 09:00:59 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] ERR:03/20/2014 - 09:00:59 | The specified path may not exist or may not be a directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 09:00:59 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 09:00:59 | Create 3 cache entries
[::1] DEB:03/20/2014 - 09:00:59 | Data1 written to cache: 532ae68b09ee0
[::1] DEB:03/20/2014 - 09:00:59 | Return: 
[::1] DEB:03/20/2014 - 09:00:59 | Data2 written to cache: 532ae68b09eeb
[::1] DEB:03/20/2014 - 09:00:59 | Return: 
[::1] DEB:03/20/2014 - 09:00:59 | Data3 written to cache: 532ae68b09ef3
[::1] DEB:03/20/2014 - 09:00:59 | Return: 
[::1] DEB:03/20/2014 - 09:00:59 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:01:09 | Retreive Data 1: 
[::1] DEB:03/20/2014 - 09:01:09 | Retreive Data 2: 
[::1] DEB:03/20/2014 - 09:01:09 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:01:19 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 09:05:46 | Starting test-cache.php
[::1] DEB:03/20/2014 - 09:05:46 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 09:05:46 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 09:05:46 | Create 3 cache entries
[::1] DEB:03/20/2014 - 09:05:46 | Data1 written to cache: 532ae7aa671e2
[::1] DEB:03/20/2014 - 09:05:46 | Return: true
[::1] DEB:03/20/2014 - 09:05:46 | Data2 written to cache: 532ae7aa671ee
[::1] DEB:03/20/2014 - 09:05:46 | Return: true
[::1] DEB:03/20/2014 - 09:05:46 | Data3 written to cache: 532ae7aa671fd
[::1] DEB:03/20/2014 - 09:05:46 | Return: true
[::1] DEB:03/20/2014 - 09:05:46 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:05:56 | Retreive Data 1: 
[::1] DEB:03/20/2014 - 09:05:56 | Retreive Data 2: 
[::1] DEB:03/20/2014 - 09:05:56 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:06:06 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 09:08:42 | Starting test-cache.php
[::1] DEB:03/20/2014 - 09:08:42 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 09:08:42 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 09:08:42 | Create 3 cache entries
[::1] DEB:03/20/2014 - 09:08:42 | Data1 written to cache: 532ae85ab902b
[::1] DEB:03/20/2014 - 09:08:42 | Return: true
[::1] DEB:03/20/2014 - 09:08:42 | Data2 written to cache: 532ae85ab903b
[::1] DEB:03/20/2014 - 09:08:42 | Return: true
[::1] DEB:03/20/2014 - 09:08:42 | Data3 written to cache: 532ae85ab904e
[::1] DEB:03/20/2014 - 09:08:42 | Return: true
[::1] DEB:03/20/2014 - 09:08:42 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:08:52 | Retreive Data 1: 532ae85ab902b
[::1] DEB:03/20/2014 - 09:08:52 | Retreive Data 2: 532ae85ab903b
[::1] DEB:03/20/2014 - 09:08:52 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:09:02 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 09:15:50 | Starting test-cache.php
[::1] DEB:03/20/2014 - 09:15:50 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 09:15:50 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 09:15:50 | Create 3 cache entries
[::1] DEB:03/20/2014 - 09:15:50 | Data1 written to cache: 532aea06c9107
[::1] DEB:03/20/2014 - 09:15:50 | Return: true
[::1] DEB:03/20/2014 - 09:15:50 | Data2 written to cache: 532aea06c911c
[::1] DEB:03/20/2014 - 09:15:50 | Return: true
[::1] DEB:03/20/2014 - 09:15:50 | Data3 written to cache: 532aea06c9128
[::1] DEB:03/20/2014 - 09:15:50 | Return: true
[::1] DEB:03/20/2014 - 09:15:50 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:16:00 | Retreive Data 1: 532aea06c9107
[::1] DEB:03/20/2014 - 09:16:00 | Retreive Data 2: 532aea06c911c
[::1] DEB:03/20/2014 - 09:16:00 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:16:10 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 09:16:10 | Now we want to test to make sure we can kepp a cache entry updated.
[::1] DEB:03/20/2014 - 09:16:10 | Set the expiration to (seconds): 10
[::1] DEB:03/20/2014 - 09:16:10 | Write the cache entry every 5 seconds to keep it updated.  then after 30 seconds see if its still available.
[::1] DEB:03/20/2014 - 09:16:10 | Data3 written to cache: 532aea06c9128
[::1] DEB:03/20/2014 - 09:16:10 | Return: true
[::1] DEB:03/20/2014 - 09:16:10 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:16:15 | Data3 written to cache: 532aea06c9128
[::1] DEB:03/20/2014 - 09:16:15 | Return: true
[::1] DEB:03/20/2014 - 09:16:15 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:16:20 | Data3 written to cache: 532aea06c9128
[::1] DEB:03/20/2014 - 09:16:20 | Return: true
[::1] DEB:03/20/2014 - 09:16:20 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:16:25 | Data3 written to cache: 532aea06c9128
[::1] DEB:03/20/2014 - 09:16:25 | Return: true
[::1] DEB:03/20/2014 - 09:16:25 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:16:30 | Data3 written to cache: 532aea06c9128
[::1] DEB:03/20/2014 - 09:16:30 | Return: true
[::1] DEB:03/20/2014 - 09:16:30 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:16:35 | Data3 written to cache: 532aea06c9128
[::1] DEB:03/20/2014 - 09:16:35 | Return: true
[::1] DEB:03/20/2014 - 09:16:35 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:16:40 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 09:27:10 | Starting test-cache.php
[::1] DEB:03/20/2014 - 09:27:10 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 09:27:10 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 09:27:10 | Create 3 cache entries
[::1] DEB:03/20/2014 - 09:27:10 | Data1 written to cache: 532aecaec9b4a
[::1] DEB:03/20/2014 - 09:27:10 | Return: true
[::1] DEB:03/20/2014 - 09:27:10 | Data2 written to cache: 532aecaec9b56
[::1] DEB:03/20/2014 - 09:27:10 | Return: true
[::1] DEB:03/20/2014 - 09:27:10 | Data3 written to cache: 532aecaec9b62
[::1] DEB:03/20/2014 - 09:27:10 | Return: true
[::1] DEB:03/20/2014 - 09:27:10 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:27:20 | Retreive Data 1: 
[::1] DEB:03/20/2014 - 09:27:20 | Retreive Data 2: 
[::1] DEB:03/20/2014 - 09:27:20 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:27:30 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 09:27:30 | Now we want to test to make sure we can kepp a cache entry updated.
[::1] DEB:03/20/2014 - 09:27:30 | Set the expiration to (seconds): 10
[::1] DEB:03/20/2014 - 09:27:30 | Write the cache entry every 5 seconds to keep it updated.  then after 30 seconds see if its still available.
[::1] DEB:03/20/2014 - 09:27:30 | Data3 written to cache: 532aecaec9b62
[::1] DEB:03/20/2014 - 09:27:30 | Return: true
[::1] DEB:03/20/2014 - 09:27:30 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:27:35 | Data3 written to cache: 532aecaec9b62
[::1] DEB:03/20/2014 - 09:27:35 | Return: true
[::1] DEB:03/20/2014 - 09:27:35 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:27:40 | Data3 written to cache: 532aecaec9b62
[::1] DEB:03/20/2014 - 09:27:40 | Return: true
[::1] DEB:03/20/2014 - 09:27:40 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:27:45 | Data3 written to cache: 532aecaec9b62
[::1] DEB:03/20/2014 - 09:27:45 | Return: true
[::1] DEB:03/20/2014 - 09:27:45 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:27:50 | Data3 written to cache: 532aecaec9b62
[::1] DEB:03/20/2014 - 09:27:50 | Return: true
[::1] DEB:03/20/2014 - 09:27:50 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:27:55 | Data3 written to cache: 532aecaec9b62
[::1] DEB:03/20/2014 - 09:27:55 | Return: true
[::1] DEB:03/20/2014 - 09:27:55 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:28:00 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 09:31:14 | Starting test-cache.php
[::1] DEB:03/20/2014 - 09:31:14 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 09:31:14 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 09:31:14 | Create 3 cache entries
[::1] DEB:03/20/2014 - 09:31:14 | Data1 written to cache: 532aeda2624a8
[::1] DEB:03/20/2014 - 09:31:14 | Return: true
[::1] DEB:03/20/2014 - 09:31:14 | Data2 written to cache: 532aeda2624b2
[::1] DEB:03/20/2014 - 09:31:14 | Return: true
[::1] DEB:03/20/2014 - 09:31:14 | Data3 written to cache: 532aeda2624ba
[::1] DEB:03/20/2014 - 09:31:14 | Return: true
[::1] DEB:03/20/2014 - 09:31:14 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:31:24 | Retreive Data 1: 
[::1] DEB:03/20/2014 - 09:31:24 | Retreive Data 2: 
[::1] DEB:03/20/2014 - 09:31:24 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:31:34 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 09:31:34 | Now we want to test to make sure we can kepp a cache entry updated.
[::1] DEB:03/20/2014 - 09:31:34 | Set the expiration to (seconds): 10
[::1] DEB:03/20/2014 - 09:31:34 | Write the cache entry every 5 seconds to keep it updated.  then after 30 seconds see if its still available.
[::1] DEB:03/20/2014 - 09:31:34 | Data3 written to cache: 532aeda2624ba
[::1] DEB:03/20/2014 - 09:31:34 | Return: true
[::1] DEB:03/20/2014 - 09:31:34 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:31:39 | Data3 written to cache: 532aeda2624ba
[::1] DEB:03/20/2014 - 09:31:39 | Return: true
[::1] DEB:03/20/2014 - 09:31:39 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:31:44 | Data3 written to cache: 532aeda2624ba
[::1] DEB:03/20/2014 - 09:31:44 | Return: true
[::1] DEB:03/20/2014 - 09:31:44 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:31:49 | Data3 written to cache: 532aeda2624ba
[::1] DEB:03/20/2014 - 09:31:49 | Return: true
[::1] DEB:03/20/2014 - 09:31:49 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:31:54 | Data3 written to cache: 532aeda2624ba
[::1] DEB:03/20/2014 - 09:31:54 | Return: true
[::1] DEB:03/20/2014 - 09:31:54 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:31:59 | Data3 written to cache: 532aeda2624ba
[::1] DEB:03/20/2014 - 09:31:59 | Return: true
[::1] DEB:03/20/2014 - 09:31:59 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:32:04 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 09:39:08 | Starting test-cache.php
[::1] DEB:03/20/2014 - 09:39:08 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 09:39:08 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 09:39:08 | Create 3 cache entries
[::1] DEB:03/20/2014 - 09:39:08 | Data1 written to cache: 532aef7c8a96d
[::1] DEB:03/20/2014 - 09:39:08 | Return: true
[::1] DEB:03/20/2014 - 09:39:08 | Data2 written to cache: 532aef7c8a983
[::1] DEB:03/20/2014 - 09:39:08 | Return: true
[::1] DEB:03/20/2014 - 09:39:08 | Data3 written to cache: 532aef7c8a995
[::1] DEB:03/20/2014 - 09:39:08 | Return: true
[::1] DEB:03/20/2014 - 09:39:08 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:39:18 | Retreive Data 1: 
[::1] DEB:03/20/2014 - 09:39:18 | Retreive Data 2: 
[::1] DEB:03/20/2014 - 09:39:18 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:39:28 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 09:39:28 | Now we want to test to make sure we can kepp a cache entry updated.
[::1] DEB:03/20/2014 - 09:39:28 | Set the expiration to (seconds): 10
[::1] DEB:03/20/2014 - 09:39:28 | Write the cache entry every 5 seconds to keep it updated.  then after 30 seconds see if its still available.
[::1] DEB:03/20/2014 - 09:39:28 | Data3 written to cache: 532aef7c8a995
[::1] DEB:03/20/2014 - 09:39:28 | Return: true
[::1] DEB:03/20/2014 - 09:39:28 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:39:33 | Data3 written to cache: 532aef7c8a995
[::1] DEB:03/20/2014 - 09:39:33 | Return: true
[::1] DEB:03/20/2014 - 09:39:33 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:39:38 | Data3 written to cache: 532aef7c8a995
[::1] DEB:03/20/2014 - 09:39:38 | Return: true
[::1] DEB:03/20/2014 - 09:39:38 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:39:43 | Data3 written to cache: 532aef7c8a995
[::1] DEB:03/20/2014 - 09:39:43 | Return: true
[::1] DEB:03/20/2014 - 09:39:43 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:39:48 | Data3 written to cache: 532aef7c8a995
[::1] DEB:03/20/2014 - 09:39:48 | Return: true
[::1] DEB:03/20/2014 - 09:39:48 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:39:53 | Data3 written to cache: 532aef7c8a995
[::1] DEB:03/20/2014 - 09:39:53 | Return: true
[::1] DEB:03/20/2014 - 09:39:53 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:39:58 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 09:39:58 | Flushing Cache
[::1] DEB:03/20/2014 - 09:41:27 | Starting test-cache.php
[::1] DEB:03/20/2014 - 09:41:27 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 09:41:27 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 09:41:27 | Create 3 cache entries
[::1] DEB:03/20/2014 - 09:41:27 | Data1 written to cache: 532af00751320
[::1] DEB:03/20/2014 - 09:41:27 | Return: true
[::1] DEB:03/20/2014 - 09:41:27 | Data2 written to cache: 532af0075132c
[::1] DEB:03/20/2014 - 09:41:27 | Return: true
[::1] DEB:03/20/2014 - 09:41:27 | Data3 written to cache: 532af00751336
[::1] DEB:03/20/2014 - 09:41:27 | Return: true
[::1] DEB:03/20/2014 - 09:41:27 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:41:37 | Retreive Data 1: 
[::1] DEB:03/20/2014 - 09:41:37 | Retreive Data 2: 
[::1] DEB:03/20/2014 - 09:41:37 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:41:47 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 09:41:47 | Now we want to test to make sure we can kepp a cache entry updated.
[::1] DEB:03/20/2014 - 09:41:47 | Set the expiration to (seconds): 10
[::1] DEB:03/20/2014 - 09:41:47 | Write the cache entry every 5 seconds to keep it updated.  then after 30 seconds see if its still available.
[::1] DEB:03/20/2014 - 09:41:47 | Data3 written to cache: 532af00751336
[::1] DEB:03/20/2014 - 09:41:47 | Return: true
[::1] DEB:03/20/2014 - 09:41:47 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:41:52 | Data3 written to cache: 532af00751336
[::1] DEB:03/20/2014 - 09:41:52 | Return: true
[::1] DEB:03/20/2014 - 09:41:52 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:41:57 | Data3 written to cache: 532af00751336
[::1] DEB:03/20/2014 - 09:41:57 | Return: true
[::1] DEB:03/20/2014 - 09:41:57 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:42:02 | Data3 written to cache: 532af00751336
[::1] DEB:03/20/2014 - 09:42:02 | Return: true
[::1] DEB:03/20/2014 - 09:42:02 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:42:07 | Data3 written to cache: 532af00751336
[::1] DEB:03/20/2014 - 09:42:07 | Return: true
[::1] DEB:03/20/2014 - 09:42:07 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:42:12 | Data3 written to cache: 532af00751336
[::1] DEB:03/20/2014 - 09:42:12 | Return: true
[::1] DEB:03/20/2014 - 09:42:12 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 09:42:17 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 09:42:17 | Flushing Cache
[::1] DEB:03/20/2014 - 09:43:34 | Starting test-cache.php
[::1] DEB:03/20/2014 - 09:43:34 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 09:43:34 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 09:43:34 | Create 3 cache entries
[::1] DEB:03/20/2014 - 09:43:34 | Data1 written to cache: 532af0864f221
[::1] DEB:03/20/2014 - 09:43:34 | Return: true
[::1] DEB:03/20/2014 - 09:43:34 | Data2 written to cache: 532af0864f245
[::1] DEB:03/20/2014 - 09:43:34 | Return: true
[::1] DEB:03/20/2014 - 09:43:34 | Data3 written to cache: 532af0864f25a
[::1] DEB:03/20/2014 - 09:43:34 | Return: true
[::1] DEB:03/20/2014 - 09:44:15 | Starting test-cache.php
[::1] DEB:03/20/2014 - 09:44:15 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 09:44:15 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 09:44:15 | Create 3 cache entries
[::1] DEB:03/20/2014 - 09:44:15 | Data1 written to cache: 532af0af883ae
[::1] DEB:03/20/2014 - 09:44:15 | Return: true
[::1] DEB:03/20/2014 - 09:44:15 | Data2 written to cache: 532af0af883c4
[::1] DEB:03/20/2014 - 09:44:15 | Return: true
[::1] DEB:03/20/2014 - 09:44:15 | Data3 written to cache: 532af0af883d0
[::1] DEB:03/20/2014 - 09:44:15 | Return: true
[::1] DEB:03/20/2014 - 09:44:15 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 09:44:25 | Retreive Data 1: 
[::1] DEB:03/20/2014 - 09:44:25 | Retreive Data 2: 
[::1] DEB:03/20/2014 - 10:01:15 | Starting test-cache.php
[::1] DEB:03/20/2014 - 10:01:15 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 10:01:15 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 10:01:15 | Create 3 cache entries
[::1] DEB:03/20/2014 - 10:01:15 | Data1 written to cache: 532af4ab22af5
[::1] DEB:03/20/2014 - 10:01:15 | Return: true
[::1] DEB:03/20/2014 - 10:01:15 | Data2 written to cache: 532af4ab22b06
[::1] DEB:03/20/2014 - 10:01:15 | Return: true
[::1] DEB:03/20/2014 - 10:01:15 | Data3 written to cache: 532af4ab22b0e
[::1] DEB:03/20/2014 - 10:01:15 | Return: true
[::1] DEB:03/20/2014 - 10:01:15 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 10:01:25 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 10:01:25 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data1
[::1] DEB:03/20/2014 - 10:01:25 | Mod Time: 1395324075 ()
[::1] DEB:03/20/2014 - 10:01:25 | Current Time: 1395324085 ()
[::1] DEB:03/20/2014 - 10:01:25 | Time to check: 1395324070 ()
[::1] DEB:03/20/2014 - 10:01:25 | The item has expired
[::1] DEB:03/20/2014 - 10:01:25 | deleting cache file: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data1
[::1] DEB:03/20/2014 - 10:01:25 | Retreive Data 1: 
[::1] DEB:03/20/2014 - 10:01:25 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 10:01:25 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data2
[::1] DEB:03/20/2014 - 10:01:25 | Mod Time: 1395324075 ()
[::1] DEB:03/20/2014 - 10:01:25 | Current Time: 1395324085 ()
[::1] DEB:03/20/2014 - 10:01:25 | Time to check: 1395324070 ()
[::1] DEB:03/20/2014 - 10:01:25 | The item has expired
